UserId,PreviousQuery,Prefix,Market,UiLanguage,Region,Time,CVID,EventId,Position,Suggestion,SuggestionClick,PastQueries,WritingStyle
USER_001_SANDRA,future of technology,e,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,6B66C014FFF74B17B10D419FCFE91871,1,explain artificial intelligence,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,e,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,6B66C014FFF74B17B10D419FCFE91871,2,explain blockchain technology,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,e,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,6B66C014FFF74B17B10D419FCFE91871,3,explain climate change,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,e,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,6B66C014FFF74B17B10D419FCFE91871,4,explain how vaccines work,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,ex,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,5664DD65AA1C4127A48EA924C3ADA735,1,explain quantum physics,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,ex,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,5664DD65AA1C4127A48EA924C3ADA735,2,explain the theory of relativity,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,ex,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,5664DD65AA1C4127A48EA924C3ADA735,3,explain how computers work,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,ex,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,5664DD65AA1C4127A48EA924C3ADA735,4,explain machine learning,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,exp,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,7835429335E143878E4B419BEB4BF8BE,1,explain quantum computing,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,exp,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,7835429335E143878E4B419BEB4BF8BE,2,explain cryptocurrency,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,exp,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,7835429335E143878E4B419BEB4BF8BE,3,explain how the internet works,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,exp,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,7835429335E143878E4B419BEB4BF8BE,4,explain neural networks,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expl,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,2640607A960F4F1FBFE80C8658FB0B44,1,explain quantum computing,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expl,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,2640607A960F4F1FBFE80C8658FB0B44,2,explain quantum mechanics,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expl,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,2640607A960F4F1FBFE80C8658FB0B44,3,explain quantum entanglement,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expl,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,2640607A960F4F1FBFE80C8658FB0B44,4,explain quantum physics simply,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expla,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,9C32FED240154D43852A8D1A33750705,1,explain quantum computing,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expla,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,9C32FED240154D43852A8D1A33750705,2,explain quantum computing to a beginner,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expla,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,9C32FED240154D43852A8D1A33750705,3,explain quantum computing applications,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,expla,en-US,en,us,8:15:03,NLBA1VYJOA0YYNFGM8B7F,9C32FED240154D43852A8D1A33750705,4,explain quantum computing vs classical,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
USER_001_SANDRA,future of technology,explai,en-US,en,us,8:15:04,NLBA1VYJOA0YYNFGM8B7F,0D65F1AF3C2F499EA3A19DA028C34188,1,explain quantum computing,False,future of technology; ai product roadmap; machine learning basics; copilot features,"Short, keyword-based, technical"
